Dışa Aktarım Tarihi:,16.07.2026 20:53:47
Toplam Kayıt Sayısı:,262

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
ST1,STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","-6,3716","-5,0739","2,4328","13,3123","15,4365","89,0427","967,0584"
HIH,GARANTİ  PORTFÖY HOLDİNGLER VE İŞTİRAKLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-6,9041","-3,8055","3,53","11,9335","19,9708","",""
MKA,MARMARA CAPİTAL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-6,9833","1,7158","11,8914","20,4842","29,0689","",""
THV,ATA PORTFÖY BARBAROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-7,0371","-17,2519","-73,5428","-69,415","297,5659","670,2067","3206,7499"
GMR,INVEO PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-7,5481","1,5533","4,2064","13,2612","37,8545","151,3772","1116,3729"
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,7,"-7,6122","0,3075","13,1174","24,176","41,18","145,5681",""
MAC,MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-7,6422","1,0027","4,7464","15,2686","25,2264","164,4651","1282,073"
PBN,PİRAMİT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-7,8477","-1,6221","-11,4931","16,9387","-5,8556","",""
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,6,"-7,9911","-2,7006","12,5518","24,0655","30,4134","200,0467","1506,5644"
BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-8,0211","-6,6162","0,0613","3,3124","11,3034","",""
CAH,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-8,0595","-0,2342","13,5736","29,2228","","",""
VPS,VEGA PORTFÖY SALUR HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-8,1567","-14,6908","13,1452","","","",""
GRT,GARANTİ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-8,2557","5,6691","23,8797","37,1284","48,2519","",""
HKM,HEDEF PORTFÖY BAŞAK HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-8,5906","-6,8969","15,2773","-1,1582","31,2498","125,2415",""
IHV,INVEO PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-8,7683","-0,4722","5,139","8,9204","12,4208","",""
KPH,İŞ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-8,9365","-8,6524","5,8863","11,5504","22,002","",""
YLY,YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-8,948","-9,9353","-0,4379","7,6431","14,9137","85,2899",""
RDF,ROTA PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-8,9659","0,339","8,1955","22,6155","57,4349","",""
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-8,9701","-6,8159","-1,0384","1,8548","-1,0871","160,2215","1003,7723"
SAS,AK PORTFÖY SABANCI TOPLULUĞU ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,5,"-9,0388","-10,1045","2,9785","8,1327","15,4092","",""
NPH,NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-9,0719","-8,9571","-4,903","1,578","16,9844","",""
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-9,1075","-7,2456","-2,3206","0,4478","4,524","172,0403",""
GBJ,GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-9,2809","-7,5693","-0,4974","2,1782","9,1935","",""
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","-9,2928","-6,4742","-0,7026","1,916","6,8031","192,8169","1360,3905"
THT,TRİVE PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-9,3448","-22,2156","-15,0373","-5,1182","-9,2222","",""
TAU,İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,7,"-9,478","-7,4372","-1,3981","1,401","5,2846","194,8969","1355,0283"
IHP,İSTANBUL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-9,5748","-3,2503","3,8099","16,073","16,5655","",""
YZH,TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,7,"-9,5969","-7,0586","-0,7369","2,3907","6,9634","189,7899","1316,2528"
PO9,PARDUS PORTFÖY ONDOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-9,8399","-18,4534","-35,3792","-32,6891","-41,1377","",""
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-9,974","-8,8859","-3,583","-1,8954","1,3277","",""
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-10,0844","-9,9638","-6,69","-4,2541","-1,692","",""
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-10,1503","-19,9804","-20,0168","-22,078","-8,5269","",""
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-10,1734","-10,302","-2,1985","-0,7534","-46,4295","",""
PYR,PARDUS PORTFÖY YİRMİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-10,1812","-20,2849","-9,9336","-16,889","45,7895","",""
PMP,PARDUS PORTFÖY MODEL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-10,2754","-20,6772","-19,4804","-23,6467","-18,5225","",""
KHT,ALLBATROSS PORTFÖY KARTAL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-10,8978","-9,7299","14,7982","18,9936","-15,1472","77,6408",""
ROF,ROTA PORTFÖY ONUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-12,0352","-3,1043","3,2216","15,3551","103,2059","",""
DHV,DENİZ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"","-12,9157","11,5204","29,4658","82,5617","","",""
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-13,3889","-15,2568","-22,3844","-15,921","","",""
FS5,ONE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,"-13,7033","-14,9213","-10,1512","-9,0321","5,3019","",""
SNY,ATLAS PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-14,1233","-40,1352","-3,5989","-6,6372","41,3943","",""
KLH,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-14,6116","14,3282","19,1215","31,6537","97,7489","",""
IHZ,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-20,2643","-19,1262","-22,7161","-22,873","-15,9231","",""
DLZ,DENİZ PORTFÖY ALİZE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"","-39,3858","-57,7316","-68,9842","-82,00","-81,995","",""
HFO,AHLATCI PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,7,"","","","","","",""
IH1,İNCİR PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"","","","","","",""
